City,Price,SquareFootage,Bedrooms,Age
Bangalore,4500000,900,2,10
Bangalore,5200000,1100,3,8
Mumbai,9800000,1500,3,5
Mumbai,12000000,1800,4,3
Delhi,7500000,1300,3,7
Delhi,6800000,1200,3,9
Chennai,4000000,850,2,12
Chennai,4200000,900,2,11
Hyderabad,5000000,1000,3,6
Hyderabad,5300000,1050,3,5
Mumbai,15000000,2200,5,2
Bangalore,6000000,1300,3,4
Delhi,8200000,1400,3,6
Chennai,3900000,800,2,15
Hyderabad,5600000,1150,3,4
Mumbai,20000000,3000,5,1
Bangalore,4800000,950,2,9
Delhi,7000000,1250,3,10
Chennai,4100000,870,2,13
Hyderabad,5100000,1020,3,6
